"Zipcode","ZipCodeType","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages","averageWage"
"07093","STANDARD","MONITOR","NJ",40.78,-74,26571,42640,1071975636," 25140.14"
"07675","STANDARD","WESTWOOD","NJ",40.98,-74.03,13245,24083,1089095041," 45222.57"
"07677","STANDARD","WOODCLIFF LAKE","NJ",41.02,-74.05,2945,5471,325436960," 59484.00"
"07885","STANDARD","WHARTON","NJ",40.89,-74.58,5273,8999,240827990," 26761.64"
"07981","STANDARD","WHIPPANY","NJ",40.82,-74.41,4585,8057,292096795," 36253.79"
"08889","STANDARD","WHITEHOUSE STATION","NJ",40.6,-74.76,4691,8570,401312434," 46827.59"
"07095","STANDARD","WOODBRIDGE","NJ",40.55,-74.28,10018,17272,528315021," 30587.95"
"07481","STANDARD","WYCKOFF","NJ",40.99,-74.16,8079,15208,896273759," 58934.36"
"10451","STANDARD","BRONX","NY",40.84,-73.87,19434,31477,471446942," 14977.51"
"10452","STANDARD","BRONX","NY",40.84,-73.87,33517,56277,723508523," 12856.20"
"10453","STANDARD","BRONX","NY",40.84,-73.87,34152,57691,699611756," 12126.88"
"10454","STANDARD","BRONX","NY",40.84,-73.87,13139,22387,273119576," 12199.92"
"10455","STANDARD","BRONX","NY",40.84,-73.87,14914,25139,325274189," 12939.03"
"10456","STANDARD","BRONX","NY",40.84,-73.87,34793,58750,732907466," 12475.02"
"10457","STANDARD","BRONX","NY",40.84,-73.87,29023,48779,614273091," 12592.98"
"10458","STANDARD","BRONX","NY",40.84,-73.87,29920,50085,693447254," 13845.41"
"10459","STANDARD","BRONX","NY",40.84,-73.87,17977,30434,414021653," 13603.92"
"10460","STANDARD","BRONX","NY",40.84,-73.87,23466,39507,531807385," 13461.09"
"10461","STANDARD","BRONX","NY",40.84,-73.87,21862,35421,839765651," 23708.13"
"10462","STANDARD","BRONX","NY",40.84,-73.87,35620,57854,1197519842," 20699.00"
"10463","STANDARD","BRONX","NY",40.84,-73.87,31592,50313,1284853119," 25537.20"
"10464","STANDARD","BRONX","NY",40.84,-73.87,2131,3381,108256016," 32018.93"
"10465","STANDARD","BRONX","NY",40.84,-73.87,18686,30798,817052868," 26529.41"
"10466","STANDARD","BRONX","NY",40.84,-73.87,29153,47658,924776075," 19404.42"
"10467","STANDARD","BRONX","NY",40.84,-73.87,39540,64907,1114305720," 17167.73"
"10468","STANDARD","BRONX","NY",40.84,-73.87,34706,55824,840612915," 15058.27"
"10469","STANDARD","BRONX","NY",40.84,-73.87,28964,47625,1017556583," 21366.02"
"10470","STANDARD","BRONX","NY",40.84,-73.87,7000,10880,260963512," 23985.62"
"10471","STANDARD","BRONX","NY",40.84,-73.87,9876,15606,623827705," 39973.58"
"10472","STANDARD","BRONX","NY",40.84,-73.87,26025,43761,630416228," 14405.89"
"10473","STANDARD","BRONX","NY",40.84,-73.87,26122,42812,817850845," 19103.31"
"10474","STANDARD","BRONX","NY",40.84,-73.87,4369,7377,97578251," 13227.36"
"10475","STANDARD","BRONX","NY",40.84,-73.87,21124,31659,740068715," 23376.25"
"10001","STANDARD","NEW YORK","NY",40.71,-73.99,12534,16553,1031960117," 62342.78"
"10002","STANDARD","NEW YORK","NY",40.71,-73.99,45236,70604,1394042364," 19744.52"
"10004","STANDARD","NEW YORK","NY",40.71,-73.99,1967,2909,333623384,"114686.62"
"10005","STANDARD","NEW YORK","NY",40.71,-73.99,4697,6293,791578339,"125787.12"
"10006","STANDARD","NEW YORK","NY",40.71,-73.99,2236,2849,240075649," 84266.64"
"10007","STANDARD","NEW YORK","NY",40.71,-73.99,3551,5396,1143186856,"211858.20"
"10008","PO BOX","NEW YORK","NY",40.71,-73.99,550,732,27103411," 37026.52"
"10009","STANDARD","NEW YORK","NY",40.71,-73.99,31275,42731,1572036810," 36789.14"
"10010","STANDARD","NEW YORK","NY",40.71,-73.99,17401,22785,2084544435," 91487.58"
"10011","STANDARD","NEW YORK","NY",40.71,-73.99,30434,38784,1264531973," 32604.48"
"10012","STANDARD","NEW YORK","NY",40.71,-73.99,13415,17738,1529644615," 86235.46"
"10013","STANDARD","NEW YORK","NY",40.71,-73.99,15981,24199,450956340," 18635.33"
"10016","STANDARD","NEW YORK","NY",40.71,-73.99,31673,40683,1412438620," 34718.15"
"10017","STANDARD","NEW YORK","NY",40.71,-73.99,15803,19975,1685441363," 84377.54"
"10018","STANDARD","NEW YORK","NY",40.71,-73.99,4416,5928,810026753,"136644.19"
"10020","STANDARD","NEW YORK","NY",40.71,-73.99,1134,1926,207363546,"107665.39"
"10021","STANDARD","NEW YORK","NY",40.77,-73.95,29820,42627,1022024689," 23975.99"
"10022","STANDARD","NEW YORK","NY",40.71,-73.99,20815,29014,731534552," 25213.16"
"10023","STANDARD","NEW YORK","NY",40.71,-73.99,34334,48044,1270483799," 26444.17"
"10024","STANDARD","NEW YORK","NY",40.71,-73.99,31925,47261,1108944328," 23464.26"
"10025","STANDARD","NEW YORK","NY",40.71,-73.99,47778,70190,1675737238," 23874.30"
"10026","STANDARD","NEW YORK","NY",40.71,-73.99,16054,24221,647150670," 26718.58"
"10027","STANDARD","NEW YORK","NY",40.71,-73.99,25372,37948,918919244," 24215.22"
"10028","STANDARD","NEW YORK","NY",40.71,-73.99,25557,36525,964357485," 26402.67"
"10029","STANDARD","NEW YORK","NY",40.71,-73.99,31490,48403,1050141146," 21695.79"
"10030","STANDARD","NEW YORK","NY",40.71,-73.99,11541,17771,345769267," 19456.94"
"10031","STANDARD","NEW YORK","NY",40.71,-73.99,26900,40901,718068721," 17556.26"
"10032","STANDARD","NEW YORK","NY",40.71,-73.99,29755,45758,754754912," 16494.49"
"10033","STANDARD","NEW YORK","NY",40.71,-73.99,30134,45474,881087274," 19375.63"
"10034","STANDARD","NEW YORK","NY",40.71,-73.99,20855,32614,604187876," 18525.41"
"02478","STANDARD","BELMONT","MA",42.39,-71.18,12132,21169,955500316," 45136.77"
"02445","STANDARD","BROOKLINE","MA",42.32,-71.14,10219,16149,871688763," 53977.88"
"02446","STANDARD","BROOKLINE","MA",42.32,-71.14,14601,21302,1038890274," 48769.61"
"02420","STANDARD","LEXINGTON","MA",42.44,-71.23,7062,13148,741054557," 56362.53"
"02421","STANDARD","LEXINGTON","MA",42.44,-71.23,8122,15237,791322042," 51934.24"
"02492","STANDARD","NEEDHAM","MA",42.28,-71.24,9394,17587,1060369022," 60292.77"
"02494","STANDARD","NEEDHAM HEIGHTS","MA",42.28,-71.24,4334,7910,368848894," 46630.71"
"02458","STANDARD","NEWTON","MA",42.33,-71.2,6418,10355,498332466," 48124.82"
"02459","STANDARD","NEWTON CENTER","MA",42.31,-71.19,9031,16153,906510839," 56120.28"
"02460","STANDARD","NEWTONVILLE","MA",42.35,-71.2,4687,7764,361543245," 46566.62"
"02461","STANDARD","NEWTON HIGHLANDS","MA",42.31,-71.2,3521,6253,358055277," 57261.36"
"02462","STANDARD","NEWTON LOWER FALLS","MA",42.33,-71.25,689,1184,50636755," 42767.53"
"02464","STANDARD","NEWTON UPPER FALLS","MA",42.31,-71.22,1539,2480,93569510," 37729.64"
"02465","STANDARD","WEST NEWTON","MA",42.35,-71.22,5887,10288,583545368," 56720.97"
"02466","STANDARD","AUBURNDALE","MA",42.34,-71.24,3366,5838,255483758," 43762.21"
"02467","STANDARD","CHESTNUT HILL","MA",42.31,-71.16,7725,13071,812720425," 62177.37"
"02468","STANDARD","WABAN","MA",42.32,-71.23,2772,5140,339797445," 66108.45"
"02451","STANDARD","WALTHAM","MA",42.38,-71.24,9097,14526,491563149," 33840.23"
"02452","STANDARD","WALTHAM","MA",42.38,-71.24,6253,9731,321542033," 33043.06"
"02453","STANDARD","WALTHAM","MA",42.38,-71.24,13382,20076,608496212," 30309.63"
"02454","PO BOX","WALTHAM","MA",42.38,-71.24,348,473,10362378," 21907.78"
"02472","STANDARD","WATERTOWN","MA",42.36,-71.17,17710,26221,892807332," 34049.32"
